Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9, RD1",Diode,37,DIODE,
"H1, H2, H3, H4, H5",MountingHole_2.2mm_M2,5,MountingHole,
R1,RotaryEncoder_EC11,1,EC11-MX-Alps,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW35, SW36, SW4, SW5, SW6, SW7, SW8, SW9",MX-5pin,34,key,
"SW33, SW34",MX-5pin_stab_copy,2,key,
U1,RP2040,1,RP2040,
